epoch,accuracy,loss,val_accuracy,val_loss
0,0.4768890142440796,1.1985548734664917,0.5129683017730713,1.1642407178878784
1,0.6490451097488403,0.8466094732284546,0.5706051588058472,1.125808835029602
2,0.7276501655578613,0.6861655712127686,0.579250693321228,1.1386717557907104
3,0.7932466268539429,0.5593213438987732,0.5734870433807373,1.1177533864974976
4,0.8361472487449646,0.45228227972984314,0.5561959743499756,1.2943211793899536
5,0.8660392761230469,0.3757389485836029,0.5360230803489685,1.430023193359375
6,0.8890119194984436,0.3135702610015869,0.5533141493797302,1.5877134799957275
7,0.9125380516052246,0.245700404047966,0.5446686148643494,1.692049503326416
8,0.9106006026268005,0.2442893087863922,0.5648415088653564,1.7256028652191162
9,0.9283144474029541,0.2086910903453827,0.5446686148643494,1.8000496625900269
10,0.9427068829536438,0.17265330255031586,0.5389049053192139,1.90045166015625
11,0.948519229888916,0.14804396033287048,0.5446686148643494,1.942814588546753
12,0.9523941278457642,0.1421300172805786,0.530259370803833,2.0256857872009277
13,0.9620813727378845,0.11778757721185684,0.5619596838951111,2.0175013542175293
14,0.9654027223587036,0.11682387441396713,0.559077799320221,2.01141095161438
15,0.9634652733802795,0.11028560250997543,0.5475504398345947,2.242490291595459
16,0.9687240719795227,0.09611266851425171,0.5504322648048401,2.275991439819336
17,0.9678937196731567,0.10003164410591125,0.5158501267433167,2.348694324493408
18,0.9551619291305542,0.135856494307518,0.5504322648048401,2.3168044090270996
19,0.9645723700523376,0.10903336852788925,0.5446686148643494,2.3985283374786377
20,0.973706066608429,0.09159506112337112,0.5648415088653564,2.3944473266601562
21,0.9645723700523376,0.10473429411649704,0.5619596838951111,2.2839531898498535
22,0.9676169157028198,0.09005430340766907,0.5533141493797302,2.221022129058838
23,0.9739828109741211,0.07973381131887436,0.5561959743499756,2.3204784393310547
24,0.973706066608429,0.07688908278942108,0.5677233338356018,2.338557004928589
