epoch,accuracy,loss,val_accuracy,val_loss
0,0.3647938072681427,1.3193188905715942,0.43515849113464355,1.2848522663116455
1,0.6634376049041748,0.9580740332603455,0.6570605039596558,0.9062849879264832
2,0.8007196187973022,0.5640096068382263,0.7060518860816956,0.7894717454910278
3,0.84721839427948,0.4111126959323883,0.6887608170509338,0.7951297760009766
4,0.8820924162864685,0.3262782096862793,0.7031700015068054,0.8480613231658936
5,0.9097702503204346,0.2654239237308502,0.6945244669914246,0.887711226940155
6,0.9258233904838562,0.22444666922092438,0.6829971075057983,0.9072158932685852
7,0.9396623373031616,0.1854422688484192,0.680115282535553,0.9919371008872986
8,0.947135329246521,0.16419796645641327,0.6657060384750366,1.098905086517334
9,0.9565458297729492,0.14560194313526154,0.6829971075057983,1.1223418712615967
10,0.9642956256866455,0.12379910051822662,0.6772334575653076,1.1505547761917114
11,0.9684472680091858,0.10767696797847748,0.6772334575653076,1.2029693126678467
12,0.9695543646812439,0.10346775501966476,0.6916426420211792,1.243003487586975
13,0.972875714302063,0.09324396401643753,0.6772334575653076,1.2825630903244019
14,0.9739828109741211,0.09126618504524231,0.6628242135047913,1.35869300365448
15,0.9753667116165161,0.08316222578287125,0.6685879230499268,1.4051780700683594
16,0.9725989699363708,0.08492415398359299,0.6714697480201721,1.4315634965896606
17,0.9773041605949402,0.07760177552700043,0.6657060384750366,1.4433541297912598
18,0.9753667116165161,0.06832791864871979,0.6743515729904175,1.4707382917404175
19,0.976473867893219,0.06963504105806351,0.6657060384750366,1.5091336965560913
20,0.9773041605949402,0.06875701993703842,0.6599423885345459,1.5231143236160278
21,0.9773041605949402,0.0630214512348175,0.6657060384750366,1.532569408416748
22,0.9767506122589111,0.06337785720825195,0.6714697480201721,1.5690127611160278
23,0.9761970639228821,0.06415783613920212,0.6599423885345459,1.6013160943984985
24,0.9773041605949402,0.0570373460650444,0.6772334575653076,1.626999855041504
